motif_name	tf
Sox10(HMG)/SciaticNerve-Sox3-ChIP-Seq(GSE35132)/Homer	SOX10
Tcf12(bHLH)/GM12878-Tcf12-ChIP-Seq(GSE32465)/Homer	TCF12
HIF2a(bHLH)/785_O-HIF2a-ChIP-Seq(GSE34871)/Homer	EPAS1
SFP1/SacCer-Promoters/Homer	SFP1/SacCer-Promoters/Homer
p73(p53)/Trachea-p73-ChIP-Seq(PRJNA310161)/Homer	TP73
HSF3(HSF)/colamp-HSF3-DAP-Seq(GSE60143)/Homer	HSF3
HRE(HSF)/Striatum-HSF1-ChIP-Seq(GSE38000)/Homer	HSF1
HEB(bHLH)/mES-Heb-ChIP-Seq(GSE53233)/Homer	TCF12
ERF105(AP2EREBP)/colamp-ERF105-DAP-Seq(GSE60143)/Homer	ERF105
Adof1(C2C2dof)/col-Adof1-DAP-Seq(GSE60143)/Homer	Adof1
IBL1(bHLH)/Seedling-IBL1-ChIP-Seq(GSE51120)/Homer	IBL1
HSFC1(HSF)/col-HSFC1-DAP-Seq(GSE60143)/Homer	HSFC1
EIN3(EIL)/col-EIN3-DAP-Seq(GSE60143)/Homer	EIN3
Unknown4/Drosophila-Promoters/Homer	Unknown4/Drosophila-Promoters
Oct6(POU,Homeobox)/NPC-Pou3f1-ChIP-Seq(GSE35496)/Homer	POU3F1
TCF4(bHLH)/SHSY5Y-TCF4-ChIP-Seq(GSE96915)/Homer	TCF7L2
MyoG(bHLH)/C2C12-MyoG-ChIP-Seq(GSE36024)/Homer	MYOG
Phox2b(Homeobox)/CLBGA-PHOX2B-ChIP-Seq(GSE90683)/Homer	PHOX2B
ERF13(AP2EREBP)/colamp-ERF13-DAP-Seq(GSE60143)/Homer	ERF13
At3g45610(C2C2dof)/col-At3g45610-DAP-Seq(GSE60143)/Homer	At3g45610
NFkB-p50,p52(RHD)/Monocyte-p50-ChIP-Chip(Schreiber_et_al.)/Homer	NFKB1
SeqBias: C/A-bias	SeqBias: C/A-bias
ATHB18(Homeobox)/colamp-ATHB18-DAP-Seq(GSE60143)/Homer	ATHB18
BANP(?)/ESC-Banp-ChIP-Seq(GSE155603)/Homer	BANP
SeqBias: G/A bias	SeqBias: G/A bias
MYB113(MYB)/col-MYB113-DAP-Seq(GSE60143)/Homer	MYB113
MS188(MYB)/colamp-MS188-DAP-Seq(GSE60143)/Homer	MS188
MYB105(MYB)/colamp-MYB105-DAP-Seq(GSE60143)/Homer	MYB105
EBF(EBF)/proBcell-EBF-ChIP-Seq(GSE21978)/Homer	EBF1
Sox15(HMG)/CPA-Sox15-ChIP-Seq(GSE62909)/Homer	SOX15
E2A(bHLH)/proBcell-E2A-ChIP-Seq(GSE21978)/Homer	TCF3
ANAC092(NAC)/colamp-ANAC092-DAP-Seq(GSE60143)/Homer	ANAC092
OBP1(C2C2dof)/col-OBP1-DAP-Seq(GSE60143)/Homer	OBP1
MYB101(MYB)/colamp-MYB101-DAP-Seq(GSE60143)/Homer	MYB101
FXR(NR),ER2/Liver-FXR-ChIP-Seq(GSE133700)/Homer	NR1H4
ZNF148(Zf)/MDAMB231-ZNF148-ChIP-Seq(GSE147020)/Homer	ZNF148
HSF7(HSF)/colamp-HSF7-DAP-Seq(GSE60143)/Homer	HSF7
At3g11280(MYBrelated)/col-At3g11280-DAP-Seq(GSE60143)/Homer	At3g11280
ZNF415(Zf)/HEK293-ZNF415.GFP-ChIP-Seq(GSE58341)/Homer	ZNF415
RLR1?/SacCer-Promoters/Homer	RLR1?/SacCer-Promoters/Homer
Tbx20(T-box)/Heart-Tbx20-ChIP-Seq(GSE29636)/Homer	TBX20
SpiB(ETS)/OCILY3-SPIB-ChIP-Seq(GSE56857)/Homer	SPIB
AT3G25990(Trihelix)/colamp-AT3G25990-DAP-Seq(GSE60143)/Homer	AT3G25990
GT3a(Trihelix)/col-GT3a-DAP-Seq(GSE60143)/Homer	GT3a
DPL-1(E2F)/cElegans-Adult-ChIP-Seq(modEncode)/Homer	DPL-1
MYB33(MYB)/col-MYB33-DAP-Seq(GSE60143)/Homer	MYB33
GABPA(ETS)/Jurkat-GABPa-ChIP-Seq(GSE17954)/Homer	GABPA
AT1G76880(Trihelix)/col-AT1G76880-DAP-Seq(GSE60143)/Homer	AT1G76880
n-Myc(bHLH)/mES-nMyc-ChIP-Seq(GSE11431)/Homer	MYCN
Tlx?(NR)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer	NR2E1
HY5(bZIP)/colamp-HY5-DAP-Seq(GSE60143)/Homer	HY5
SOC1(MADS)/Seedling-SOC1-ChIP-Seq(GSE45846)/Homer	SOC1
PLT1(AP2EREBP)/colamp-PLT1-DAP-Seq(GSE60143)/Homer	PLT1
At5g62940(C2C2dof)/col-At5g62940-DAP-Seq(GSE60143)/Homer	At5g62940
Unknown1/Arabidopsis-Promoters/Homer	Unknown1/Arabidopsis-Promoters
bHLHE41(bHLH)/proB-Bhlhe41-ChIP-Seq(GSE93764)/Homer	BHLHE41
E2FA(E2FDP)/colamp-E2FA-DAP-Seq(GSE60143)/Homer	E2FA
DREF/Drosophila-Promoters/Homer	DREF/Drosophila-Promoters/Homer
Mouse_Recombination_Hotspot(Zf)/Testis-DMC1-ChIP-Seq(GSE24438)/Homer	DMC1
CUC1(NAC)/col-CUC1-DAP-Seq(GSE60143)/Homer	CUC1
Gata1(Zf)/K562-GATA1-ChIP-Seq(GSE18829)/Homer	GATA1
MYB40(MYB)/col-MYB40-DAP-Seq(GSE60143)/Homer	MYB40
ESE1(AP2EREBP)/col-ESE1-DAP-Seq(GSE60143)/Homer	ESE1
Tbr1(T-box)/Cortex-Tbr1-ChIP-Seq(GSE71384)/Homer	TBR1
GLIS3(Zf)/Thyroid-Glis3.GFP-ChIP-Seq(GSE103297)/Homer	GLIS3
bHLH122(bHLH)/col100-bHLH122-DAP-Seq(GSE60143)/Homer	bHLH122
ZML1(C2C2gata)/colamp-ZML1-DAP-Seq(GSE60143)/Homer	ZML1
TGA5(bZIP)/col-TGA5-DAP-Seq(GSE60143)/Homer	TGA5
CRE(bZIP)/Promoter/Homer	CREB
bHLHE40(bHLH)/HepG2-BHLHE40-ChIP-Seq(GSE31477)/Homer	BHLHE40
Tbx6(T-box)/ESC-Tbx6-ChIP-Seq(GSE93524)/Homer	TBX6
bHLH28(bHLH)/col-bHLH28-DAP-Seq(GSE60143)/Homer	bHLH28
Unknown5/Drosophila-Promoters/Homer	Unknown5/Drosophila-Promoters
Gata4(Zf)/Heart-Gata4-ChIP-Seq(GSE35151)/Homer	GATA4
TCP16(TCP)/colamp-TCP16-DAP-Seq(GSE60143)/Homer	TCP16
bZIP28(bZIP)/col-bZIP28-DAP-Seq(GSE60143)/Homer	bZIP28
ATHB6(Homeobox)/col-ATHB6-DAP-Seq(GSE60143)/Homer	ATHB6
AARE(HLH)/mES-cMyc-ChIP-Seq/Homer	AARE
Elk4(ETS)/Hela-Elk4-ChIP-Seq(GSE31477)/Homer	ELK4
bZIP16(bZIP)/colamp-bZIP16-DAP-Seq(GSE60143)/Homer	bZIP16
Bcl11a(Zf)/HSPC-BCL11A-ChIP-Seq(GSE104676)/Homer	BCL11A
Oct4(POU,Homeobox)/mES-Oct4-ChIP-Seq(GSE11431)/Homer	POU5F1
bHLH18(bHLH)/col-bHLH18-DAP-Seq(GSE60143)/Homer	bHLH18
MYB27(MYB)/colamp-MYB27-DAP-Seq(GSE60143)/Homer	MYB27
MYB116(MYB)/colamp-MYB116-DAP-Seq(GSE60143)/Homer	MYB116
bcd(Homeobox)/Embryo-Bcd-ChIP-Seq(GSE86966)/Homer	bcd
AT4G00250(GeBP)/col-AT4G00250-DAP-Seq(GSE60143)/Homer	AT4G00250
NPAS(bHLH)/Liver-NPAS-ChIP-Seq(GSE39860)/Homer	NPAS1
PBX1(Homeobox)/MCF7-PBX1-ChIP-Seq(GSE28007)/Homer	PBX1
MafK(bZIP)/C2C12-MafK-ChIP-Seq(GSE36030)/Homer	MAFK
ERF38(AP2EREBP)/col-ERF38-DAP-Seq(GSE60143)/Homer	ERF38
ANAC047(NAC)/colamp-ANAC047-DAP-Seq(GSE60143)/Homer	ANAC047
Zic2(Zf)/ESC-Zic2-ChIP-Seq(SRP197560)/Homer	ZIC2
STAT1(Stat)/HelaS3-STAT1-ChIP-Seq(GSE12782)/Homer	STAT1
SeqBias: GA-repeat	SeqBias: GA-repeat
KAN2(G2like)/colamp-KAN2-DAP-Seq(GSE60143)/Homer	KAN2
DUX(Homeobox)/C2C12-Dux-ChIP-Seq(GSE87279)/Homer	DUX
AT2G20400(G2like)/colamp-AT2G20400-DAP-Seq(GSE60143)/Homer	AT2G20400
IDD4(C2H2)/col-IDD4-DAP-Seq(GSE60143)/Homer	IDD4
Jun-AP1(bZIP)/K562-cJun-ChIP-Seq(GSE31477)/Homer	JUN
TGA3(bZIP)/colamp-TGA3-DAP-Seq(GSE60143)/Homer	TGA3
TEAD1(TEAD)/HepG2-TEAD1-ChIP-Seq(Encode)/Homer	TEAD1
MYB57(MYB)/col-MYB57-DAP-Seq(GSE60143)/Homer	MYB57
PGR(NR)/EndoStromal-PGR-ChIP-Seq(GSE69539)/Homer	PGR
RAR:RXR(NR),DR5/ES-RAR-ChIP-Seq(GSE56893)/Homer	RAR:RXR
Otx2(Homeobox)/EpiLC-Otx2-ChIP-Seq(GSE56098)/Homer	OTX2
FOXA1(Forkhead)/LNCAP-FOXA1-ChIP-Seq(GSE27824)/Homer	FOXA1
BPC1(BBRBPC)/colamp-BPC1-DAP-Seq(GSE60143)/Homer	BPC1
Tcf21(bHLH)/ArterySmoothMuscle-Tcf21-ChIP-Seq(GSE61369)/Homer	TCF21
EFL-1(E2F)/cElegans-L1-EFL1-ChIP-Seq(modEncode)/Homer	EFL-1
At5g22890(C2H2)/col-At5g22890-DAP-Seq(GSE60143)/Homer	At5g22890
AT1G76870(Trihelix)/col-AT1G76870-DAP-Seq(GSE60143)/Homer	AT1G76870
HIF-1a(bHLH)/MCF7-HIF1a-ChIP-Seq(GSE28352)/Homer	HIF1A
ETS:E-box(ETS,bHLH)/HPC7-Scl-ChIP-Seq(GSE22178)/Homer	TAL1
Six1(Homeobox)/Myoblast-Six1-ChIP-Chip(GSE20150)/Homer	SIX1
ZFP3(Zf)/HEK293-ZFP3.GFP-ChIP-Seq(GSE58341)/Homer	ZFP3
ZNF341(Zf)/EBV-ZNF341-ChIP-Seq(GSE113194)/Homer	ZNF341
SUT1?/SacCer-Promoters/Homer	SUT1?/SacCer-Promoters/Homer
Tgif2(Homeobox)/mES-Tgif2-ChIP-Seq(GSE55404)/Homer	TGIF2
MYB4(MYB)/col200-MYB4-DAP-Seq(GSE60143)/Homer	MYB4
E2F4(E2F)/K562-E2F4-ChIP-Seq(GSE31477)/Homer	E2F4
Npas4(bHLH)/Neuron-Npas4-ChIP-Seq(GSE127793)/Homer	NPAS4
ZNF669(Zf)/HEK293-ZNF669.GFP-ChIP-Seq(GSE58341)/Homer	ZNF669
Zfp541(Zf)/Sperm-Zfp541-ChIP-Seq(GSE163916)/Homer	ZFP541
Hand2(bHLH)/Mesoderm-Hand2-ChIP-Seq(GSE61475)/Homer	HAND2
Myf5(bHLH)/GM-Myf5-ChIP-Seq(GSE24852)/Homer	MYF5
Hoxb4(Homeobox)/ES-Hoxb4-ChIP-Seq(GSE34014)/Homer	HOXB4
MYB58(MYB)/colamp-MYB58-DAP-Seq(GSE60143)/Homer	MYB58
REM19(REM)/colamp-REM19-DAP-Seq(GSE60143)/Homer	REM19
AT5G22990(C2H2)/col-AT5G22990-DAP-Seq(GSE60143)/Homer	AT5G22990
Nanog(Homeobox)/mES-Nanog-ChIP-Seq(GSE11724)/Homer	NANOG
FoxL2(Forkhead)/Ovary-FoxL2-ChIP-Seq(GSE60858)/Homer	FOXL2
ANAC058(NAC)/col-ANAC058-DAP-Seq(GSE60143)/Homer	ANAC058
GT1(Trihelix)/col-GT1-DAP-Seq(GSE60143)/Homer	GT1
IRF4(IRF)/GM12878-IRF4-ChIP-Seq(GSE32465)/Homer	IRF4
Gli2(Zf)/GM2-Gli2-ChIP-Chip(GSE112702)/Homer	GLI2
TF3A(C2H2)/col-TF3A-DAP-Seq(GSE60143)/Homer	TF3A
Foxf1(Forkhead)/Lung-Foxf1-ChIP-Seq(GSE77951)/Homer	FOXF1
NAC2(NAC)/colamp-NAC2-DAP-Seq(GSE60143)/Homer	NAC2
Sp5(Zf)/mES-Sp5.Flag-ChIP-Seq(GSE72989)/Homer	SP5
RUNX-AML(Runt)/CD4+-PolII-ChIP-Seq(Barski_et_al.)/Homer	RUNX1
EKLF(Zf)/Erythrocyte-Klf1-ChIP-Seq(GSE20478)/Homer	KLF1
BIM2(bHLH)/col-BIM2-DAP-Seq(GSE60143)/Homer	BIM2
ABF1(bZIP)/Arabidopsis-ABF1-ChIP-Seq(GSE80564)/Homer	ABF1
ATHB21(HB)/colamp-ATHB21-DAP-Seq(GSE60143)/Homer	ATHB21
GRE(NR),IR3/A549-GR-ChIP-Seq(GSE32465)/Homer	GR
GFY(?)/Promoter/Homer	GFY
ATHB15(HB)/col-ATHB15-DAP-Seq(GSE60143)/Homer	ATHB15
MYB81(MYB)/col-MYB81-DAP-Seq(GSE60143)/Homer	MYB81
Foxa3(Forkhead)/Liver-Foxa3-ChIP-Seq(GSE77670)/Homer	FOXA3
LBD2(LOBAS2)/colamp-LBD2-DAP-Seq(GSE60143)/Homer	LBD2
WRKY30(WRKY)/colamp-WRKY30-DAP-Seq(GSE60143)/Homer	WRKY30
ELF1(ETS)/Jurkat-ELF1-ChIP-Seq(SRA014231)/Homer	ELF1
ELT-3(Gata)/cElegans-L1-ELT3-ChIP-Seq(modEncode)/Homer	ELT-3
Chop(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	DDIT3
GFY-Staf(?,Zf)/Promoter/Homer	ZNF143
WRKY21(WRKY)/colamp-WRKY21-DAP-Seq(GSE60143)/Homer	WRKY21
Stat3(Stat)/mES-Stat3-ChIP-Seq(GSE11431)/Homer	STAT3
Hoxa9(Homeobox)/ChickenMSG-Hoxa9.Flag-ChIP-Seq(GSE86088)/Homer	HOXA9
DREB2(AP2EREBP)/col-DREB2-DAP-Seq(GSE60143)/Homer	DREB2
NeuroD1(bHLH)/Islet-NeuroD1-ChIP-Seq(GSE30298)/Homer	NEUROD1
Twist(bHLH)/HMLE-TWIST1-ChIP-Seq(Chang_et_al)/Homer	TWIST1
Meis1(Homeobox)/MastCells-Meis1-ChIP-Seq(GSE48085)/Homer	MEIS1
SPL5(SBP)/colamp-SPL5-DAP-Seq(GSE60143)/Homer	SPL5
E2F1(E2F)/Hela-E2F1-ChIP-Seq(GSE22478)/Homer	E2F1
Tcf7(HMG)/GM12878-TCF7-ChIP-Seq(Encode)/Homer	TCF7
SEP3(MADS)/Arabidoposis-Flower-Sep3-ChIP-Seq/Homer	SEP3
At1g64620(C2C2dof)/colamp-At1g64620-DAP-Seq(GSE60143)/Homer	At1g64620
OCT:OCT(POU,Homeobox)/NPC-Brn1-ChIP-Seq(GSE35496)/Homer	BRN1
Pax7(Paired,Homeobox),long/Myoblast-Pax7-ChIP-Seq(GSE25064)/Homer	PAX7
KLF5(Zf)/LoVo-KLF5-ChIP-Seq(GSE49402)/Homer	KLF5
At4g38000(C2C2dof)/col-At4g38000-DAP-Seq(GSE60143)/Homer	At4g38000
Srebp1a(bHLH)/HepG2-Srebp1a-ChIP-Seq(GSE31477)/Homer	SREBF1
NFATC2(RHD)/Islets-NFATC2-ChIP-Seq(GSE158496)/Homer	NFATC2
ERb(NR),IR3/Ovary-ERb-ChIP-Seq(GSE203391)/Homer	ESR2
NF1-halfsite(CTF)/LNCaP-NF1-ChIP-Seq(Unpublished)/Homer	NF1
Nr5a2(NR)/mES-Nr5a2-ChIP-Seq(GSE19019)/Homer	NR5A2
Unknown-ESC-element(?)/mES-Nanog-ChIP-Seq(GSE11724)/Homer	NANOG
MYB96(MYB)/colamp-MYB96-DAP-Seq(GSE60143)/Homer	MYB96
SRS7(SRS)/colamp-SRS7-DAP-Seq(GSE60143)/Homer	SRS7
ZKSCAN1(Zf)/HepG2-ZKSCAN1-ChIP-Seq(Encode)/Homer	ZKSCAN1
PPARE(NR),DR1/3T3L1-Pparg-ChIP-Seq(GSE13511)/Homer	PPARG
Hoxd12(Homeobox)/ChickenMSG-Hoxd12.Flag-ChIP-Seq(GSE86088)/Homer	HOXD12
LOB(LOBAS2)/col-LOB-DAP-Seq(GSE60143)/Homer	LOB
MYB73(MYB)/col-MYB73-DAP-Seq(GSE60143)/Homer	MYB73
WRKY17(WRKY)/colamp-WRKY17-DAP-Seq(GSE60143)/Homer	WRKY17
TGA1(bZIP)/colamp-TGA1-DAP-Seq(GSE60143)/Homer	TGA1
RRTF1(AP2EREBP)/colamp-RRTF1-DAP-Seq(GSE60143)/Homer	RRTF1
ZBTB33(Zf)/GM12878-ZBTB33-ChIP-Seq(GSE32465)/Homer	ZBTB33
AT1G01250(AP2EREBP)/col-AT1G01250-DAP-Seq(GSE60143)/Homer	AT1G01250
AT3G57600(AP2EREBP)/col-AT3G57600-DAP-Seq(GSE60143)/Homer	AT3G57600
Nur77(NR)/K562-NR4A1-ChIP-Seq(GSE31363)/Homer	NR4A1
Hoxd10(Homeobox)/ChickenMSG-Hoxd10.Flag-ChIP-Seq(GSE86088)/Homer	HOXD10
AT5G59990(C2C2COlike)/colamp-AT5G59990-DAP-Seq(GSE60143)/Homer	AT5G59990
AT3G12130(C3H)/colamp-AT3G12130-DAP-Seq(GSE60143)/Homer	AT3G12130
ANAC045(NAC)/col-ANAC045-DAP-Seq(GSE60143)/Homer	ANAC045
ZNF692(Zf)/HEK293-ZNF692.GFP-ChIP-Seq(GSE58341)/Homer	ZNF692
At2g03500(G2like)/col-At2g03500-DAP-Seq(GSE60143)/Homer	At2g03500
SeqBias: CA-repeat	SeqBias: CA-repeat
AT1G47655(C2C2dof)/colamp-AT1G47655-DAP-Seq(GSE60143)/Homer	AT1G47655
bZIP52(bZIP)/colamp-bZIP52-DAP-Seq(GSE60143)/Homer	bZIP52
CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	CEBPB
Nkx2.2(Homeobox)/NPC-Nkx2.2-ChIP-Seq(GSE61673)/Homer	NKX2-2
PRDM9(Zf)/Testis-DMC1-ChIP-Seq(GSE35498)/Homer	PRDM9
JGL(C2H2)/col-JGL-DAP-Seq(GSE60143)/Homer	JGL
Ap4(bHLH)/AML-Tfap4-ChIP-Seq(GSE45738)/Homer	TFAP4
bZIP:IRF(bZIP,IRF)/Th17-BatF-ChIP-Seq(GSE39756)/Homer	BATF
Foxo3(Forkhead)/U2OS-Foxo3-ChIP-Seq(E-MTAB-2701)/Homer	FOXO3
AT1G04880(ARID)/colamp-AT1G04880-DAP-Seq(GSE60143)/Homer	AT1G04880
ETV4(ETS)/HepG2-ETV4-ChIP-Seq(ENCODE)/Homer	ETV4
HNF6(Homeobox)/Liver-Hnf6-ChIP-Seq(ERP000394)/Homer	ONECUT1
AT4G26030(C2H2)/col-AT4G26030-DAP-Seq(GSE60143)/Homer	AT4G26030
IDD5(C2H2)/colamp-IDD5-DAP-Seq(GSE60143)/Homer	IDD5
EWS:FLI1-fusion(ETS)/SK_N_MC-EWS:FLI1-ChIP-Seq(SRA014231)/Homer	EWS-FLI1
AT2G01818(PLATZ)/col-AT2G01818-DAP-Seq(GSE60143)/Homer	AT2G01818
TCX2(CPP)/colamp-TCX2-DAP-Seq(GSE60143)/Homer	TCX2
WUS1(Homeobox)/colamp-WUS1-DAP-Seq(GSE60143)/Homer	WUS1
HuR(?)/HEK293-HuR-CLIP-Seq(GSE87887)/Homer	HuR
Zic(Zf)/Cerebellum-ZIC1.2-ChIP-Seq(GSE60731)/Homer	ZIC1
Stat3+il21(Stat)/CD4-Stat3-ChIP-Seq(GSE19198)/Homer	STAT3
MYB83(MYB)/colamp-MYB83-DAP-Seq(GSE60143)/Homer	MYB83
HAT1(Homeobox)/col-HAT1-DAP-Seq(GSE60143)/Homer	HAT1
MYB88(MYB)/col-MYB88-DAP-Seq(GSE60143)/Homer	MYB88
Egr1(Zf)/K562-Egr1-ChIP-Seq(GSE32465)/Homer	EGR1
MYB61(MYB)/colamp-MYB61-DAP-Seq(GSE60143)/Homer	MYB61
HAT5(Homeobox)/colamp-HAT5-DAP-Seq(GSE60143)/Homer	HAT5
GBF5(bZIP)/colamp-GBF5-DAP-Seq(GSE60143)/Homer	GBF5
GRE(NR),IR3/RAW264.7-GRE-ChIP-Seq(Unpublished)/Homer	IR3
AT5G66940(C2C2dof)/col-AT5G66940-DAP-Seq(GSE60143)/Homer	AT5G66940
KLF3(Zf)/MEF-Klf3-ChIP-Seq(GSE44748)/Homer	KLF3
BHLHA15(bHLH)/NIH3T3-BHLHB8.HA-ChIP-Seq(GSE119782)/Homer	BHLHA15
MYB93(MYB)/colamp-MYB93-DAP-Seq(GSE60143)/Homer	MYB93
Rfx2(HTH)/LoVo-RFX2-ChIP-Seq(GSE49402)/Homer	RFX2
TGA4(bZIP)/colamp-TGA4-DAP-Seq(GSE60143)/Homer	TGA4
GATA3(Zf)/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer	GATA3
SPDEF(ETS)/VCaP-SPDEF-ChIP-Seq(SRA014231)/Homer	SPDEF
WRKY46(WRKY)/colamp-WRKY46-DAP-Seq(GSE60143)/Homer	WRKY46
PSE(SNAPc)/K562-mStart-Seq/Homer	PSE
NGA4(ABI3VP1)/col-NGA4-DAP-Seq(GSE60143)/Homer	NGA4
ZNF41(Zf)/HEK293-ZNF41.GFP-ChIP-Seq(GSE58341)/Homer	ZNF41
CTCF(Zf)/WholeFly-dCTCF-ChIP-seq(GSE175402)/Homer	CTCF
PTF1(TCP)/colamp-PTF1-DAP-Seq(GSE60143)/Homer	PTF1
TSO1(CPP)/col-TSO1-DAP-Seq(GSE60143)/Homer	TSO1
ASHR1(ND)/col-ASHR1-DAP-Seq(GSE60143)/Homer	ASHR1
ERF7(AP2EREBP)/col-ERF7-DAP-Seq(GSE60143)/Homer	ERF7
At4g28140(AP2EREBP)/colamp-At4g28140-DAP-Seq(GSE60143)/Homer	At4g28140
Sox17(HMG)/Endoderm-Sox17-ChIP-Seq(GSE61475)/Homer	SOX17
AT2G20110(CPP)/colamp-AT2G20110-DAP-Seq(GSE60143)/Homer	AT2G20110
HLF(bZIP)/HSC-HLF.Flag-ChIP-Seq(GSE69817)/Homer	HLF
bZIP48(bZIP)/colamp-bZIP48-DAP-Seq(GSE60143)/Homer	bZIP48
CUC2(NAC)/colamp-CUC2-DAP-Seq(GSE60143)/Homer	CUC2
Sp2(Zf)/HEK293-Sp2.eGFP-ChIP-Seq(Encode)/Homer	SP2
VRN1(ABI3VP1)/col-VRN1-DAP-Seq(GSE60143)/Homer	VRN1
Rbpj1(?)/Panc1-Rbpj1-ChIP-Seq(GSE47459)/Homer	RBPJ
MYB62(MYB)/colamp-MYB62-DAP-Seq(GSE60143)/Homer	MYB62
EMB1789(C3H)/col-EMB1789-DAP-Seq(GSE60143)/Homer	EMB1789
Unknown2/Drosophila-Promoters/Homer	Unknown2/Drosophila-Promoters
OCT:OCT-short(POU,Homeobox)/NPC-OCT6-ChIP-Seq(GSE43916)/Homer	POU3F1
ANL2(HB)/col-ANL2-DAP-Seq(GSE60143)/Homer	ANL2
ERE(NR),IR3/MCF7-ERa-ChIP-Seq(Unpublished)/Homer	ERE
ZEB2(Zf)/SNU398-ZEB2-ChIP-Seq(GSE103048)/Homer	ZEB2
Trl(Zf)/S2-GAGAfactor-ChIP-Seq(GSE40646)/Homer	Trl
Smad3(MAD)/NPC-Smad3-ChIP-Seq(GSE36673)/Homer	SMAD3
Atf7(bZIP)/3T3L1-Atf7-ChIP-Seq(GSE56872)/Homer	ATF7
Sox6(HMG)/Myotubes-Sox6-ChIP-Seq(GSE32627)/Homer	SOX6
MYB10(MYB)/col-MYB10-DAP-Seq(GSE60143)/Homer	MYB10
PIF4(bHLH)/Seedling-PIF4-ChIP-Seq(GSE35315)/Homer	PIF4
VND6(NAC)/col-VND6-DAP-Seq(GSE60143)/Homer	VND6
STZ(C2H2)/colamp-STZ-DAP-Seq(GSE60143)/Homer	STZ
At5g08750(C3H)/col-At5g08750-DAP-Seq(GSE60143)/Homer	At5g08750
AGL6(MADS)/col-AGL6-DAP-Seq(GSE60143)/Homer	AGL6
AGL13(MADS)/col-AGL13-DAP-Seq(GSE60143)/Homer	AGL13
AGL25(MADS)/colamp-AGL25-DAP-Seq(GSE60143)/Homer	AGL25
AT5G02460(C2C2dof)/col-AT5G02460-DAP-Seq(GSE60143)/Homer	AT5G02460
Hnf6b(Homeobox)/LNCaP-Hnf6b-ChIP-Seq(GSE106305)/Homer	ONECUT2
Eomes(T-box)/H9-Eomes-ChIP-Seq(GSE26097)/Homer	EOMES
LEF1(HMG)/H1-LEF1-ChIP-Seq(GSE64758)/Homer	LEF1
DREB19(AP2EREBP)/colamp-DREB19-DAP-Seq(GSE60143)/Homer	DREB19
Barx1(Homeobox)/Stomach-Barx1.3xFlag-ChIP-Seq(GSE69483)/Homer	BARX1
ANAC075(NAC)/col-ANAC075-DAP-Seq(GSE60143)/Homer	ANAC075
Hoxc6(Homeobox)/EB-Hoxc6.iFlag-ChIP-Seq(GSE142377)/Homer	HOXC6
Zfp57(Zf)/H1-ZFP57.HA-ChIP-Seq(GSE115387)/Homer	ZFP57
Atoh1(bHLH)/Cerebellum-Atoh1-ChIP-Seq(GSE22111)/Homer	ATOH1
Klf9(Zf)/GBM-Klf9-ChIP-Seq(GSE62211)/Homer	KLF9
POU4F3(POU,Homeobox)/MEF-Pou4f3-ChIP-Seq(GSE150279)/Homer	POU4F3
AT1G10720(BSD)/col-AT1G10720-DAP-Seq(GSE60143)/Homer	AT1G10720
IRF3(IRF)/BMDM-Irf3-ChIP-Seq(GSE67343)/Homer	IRF3
Initiator/Drosophila-Promoters/Homer	Initiator/Drosophila-Promoters/Homer
Srebp2(bHLH)/HepG2-Srebp2-ChIP-Seq(GSE31477)/Homer	SREBF2
GFX(?)/Promoter/Homer	GFX
CDF3(C2C2dof)/colamp-CDF3-DAP-Seq(GSE60143)/Homer	CDF3
AT3G42860(zfGRF)/col-AT3G42860-DAP-Seq(GSE60143)/Homer	AT3G42860
SPCH(bHLH)/Seedling-SPCH-ChIP-Seq(GSE57497)/Homer	SPCH
WRKY40(WRKY)/colamp-WRKY40-DAP-Seq(GSE60143)/Homer	WRKY40
ZFX(Zf)/mES-Zfx-ChIP-Seq(GSE11431)/Homer	ZFX
Foxo1(Forkhead)/RAW-Foxo1-ChIP-Seq(Fan_et_al.)/Homer	FOXO1
Elf4(ETS)/BMDM-Elf4-ChIP-Seq(GSE88699)/Homer	ELF4
AIL7(AP2EREBP)/colamp-AIL7-DAP-Seq(GSE60143)/Homer	AIL7
AT1G72740(MYBrelated)/colamp-AT1G72740-DAP-Seq(GSE60143)/Homer	AT1G72740
E2F6(E2F)/Hela-E2F6-ChIP-Seq(GSE31477)/Homer	E2F6
ANAC071(NAC)/col-ANAC071-DAP-Seq(GSE60143)/Homer	ANAC071
MYB107(MYB)/col-MYB107-DAP-Seq(GSE60143)/Homer	MYB107
MYB13(MYB)/col-MYB13-DAP-Seq(GSE60143)/Homer	MYB13
WRKY11(WRKY)/col-WRKY11-DAP-Seq(GSE60143)/Homer	WRKY11
LIN-39(Homeobox)/cElegans.L3-LIN39-ChIP-Seq(modEncode)/Homer	LIN-39
AT1G28160(AP2EREBP)/colamp-AT1G28160-DAP-Seq(GSE60143)/Homer	AT1G28160
AT5G47660(Trihelix)/colamp-AT5G47660-DAP-Seq(GSE60143)/Homer	AT5G47660
